date,year,month,day,Ob,Yenisey,Lena,Kolyma,Yukon,Mackenzie
2000/1/1,2000,1,1,,,,,,
2000/1/2,2000,1,2,,,,,,
2000/1/3,2000,1,3,,,,,,
2000/1/4,2000,1,4,,,,,,
2000/1/5,2000,1,5,,,,,,
2000/1/6,2000,1,6,,,,,,
2000/1/7,2000,1,7,,,,,,
2000/1/8,2000,1,8,,,,,,
2000/1/9,2000,1,9,,,,,,
2000/1/10,2000,1,10,,,,,,
2000/1/11,2000,1,11,,,,,,
2000/1/12,2000,1,12,,,,,,
2000/1/13,2000,1,13,,,,,,
2000/1/14,2000,1,14,,,,,,
2000/1/15,2000,1,15,,,,,,
2000/1/16,2000,1,16,,,,,,
2000/1/17,2000,1,17,,,,,,
2000/1/18,2000,1,18,,,,,,
2000/1/19,2000,1,19,,,,,,
2000/1/20,2000,1,20,,,,,,
2000/1/21,2000,1,21,,,,,,
2000/1/22,2000,1,22,,,,,,
2000/1/23,2000,1,23,,,,,,
2000/1/24,2000,1,24,,,,,,
2000/1/25,2000,1,25,,,,,,
2000/1/26,2000,1,26,,,,,,
2000/1/27,2000,1,27,,,,,,
2000/1/28,2000,1,28,,,,,,
2000/1/29,2000,1,29,,,,,,
2000/1/30,2000,1,30,,,,,,
2000/1/31,2000,1,31,,,,,,
2000/2/1,2000,2,1,,,,,,
2000/2/2,2000,2,2,,,,,,
2000/2/3,2000,2,3,,,,,,
2000/2/4,2000,2,4,,,,,,
2000/2/5,2000,2,5,,,,,,
2000/2/6,2000,2,6,,,,,,
2000/2/7,2000,2,7,,,,,,
2000/2/8,2000,2,8,,,,,,
2000/2/9,2000,2,9,,,,,,
2000/2/10,2000,2,10,,,,,,
2000/2/11,2000,2,11,,,,,,
2000/2/12,2000,2,12,,,,,,
2000/2/13,2000,2,13,,,,,,
2000/2/14,2000,2,14,,,,,,
2000/2/15,2000,2,15,,,,,,
2000/2/16,2000,2,16,,,,,,
2000/2/17,2000,2,17,,,,,,
2000/2/18,2000,2,18,,,,,,
2000/2/19,2000,2,19,,,,,,
2000/2/20,2000,2,20,,,,,,
2000/2/21,2000,2,21,,,,,,
2000/2/22,2000,2,22,,,,,,
2000/2/23,2000,2,23,,,,,,
2000/2/24,2000,2,24,,,,,2.982,3.981
2000/2/25,2000,2,25,,,,,3.276,4.012
2000/2/26,2000,2,26,,,,,3.276,4.009
2000/2/27,2000,2,27,,,,,3.276,4.008
2000/2/28,2000,2,28,,,,,3.28,3.99
2000/2/29,2000,2,29,,,,,3.257,4.007
2000/3/1,2000,3,1,,,,,3.257,3.995
2000/3/2,2000,3,2,,,,,3.257,4.027
2000/3/3,2000,3,3,,,,,3.248,4.029
2000/3/4,2000,3,4,,2.78,6.275,,,4.013
2000/3/5,2000,3,5,,2.816,6.275,,,3.976
2000/3/6,2000,3,6,,2.816,6.275,,,3.991
2000/3/7,2000,3,7,,2.934,6.709,,2.842,3.965
2000/3/8,2000,3,8,,2.879,6.672,,2.842,3.989
2000/3/9,2000,3,9,,2.905,6.757,,2.832,3.973
2000/3/10,2000,3,10,,3.2,6.72,,2.832,3.97
2000/3/11,2000,3,11,,3.329,6.827,,2.831,4.092
2000/3/12,2000,3,12,,3.411,6.162,,,3.97
2000/3/13,2000,3,13,,3.06,6.196,,,3.962
2000/3/14,2000,3,14,,3.15,6.222,,,3.973
2000/3/15,2000,3,15,,3.195,6.22,,,3.984
2000/3/16,2000,3,16,,3.047,6.218,,,4.088
2000/3/17,2000,3,17,,2.972,6.175,,2.68,3.96
2000/3/18,2000,3,18,,2.921,6.173,,2.788,3.96
2000/3/19,2000,3,19,,2.843,6.159,,2.911,3.937
2000/3/20,2000,3,20,,2.805,6.146,,3.181,3.937
2000/3/21,2000,3,21,,2.81,6.116,,3.307,3.937
2000/3/22,2000,3,22,,2.803,6.099,,3.311,3.956
2000/3/23,2000,3,23,,2.803,6.193,,3.935,3.916
2000/3/24,2000,3,24,,2.812,6.191,,4.096,3.902
2000/3/25,2000,3,25,,2.819,5.986,,3.83,3.909
2000/3/26,2000,3,26,,2.818,5.964,,3.758,3.909
2000/3/27,2000,3,27,,2.765,6.019,,3.69,3.909
2000/3/28,2000,3,28,,2.743,6.058,,3.635,3.941
2000/3/29,2000,3,29,,2.785,6.01,,3.616,3.973
2000/3/30,2000,3,30,,2.777,5.913,,3.597,3.951
