date,year,month,day,Ob,Yenisey,Lena,Kolyma,Yukon,Mackenzie
2000/1/1,2000,1,1,,0.85104,0.273024,0.024624,,0.304992
2000/1/2,2000,1,2,,0.84672,0.27648,0.0251424,,0.31104
2000/1/3,2000,1,3,,0.84672,0.2808,0.0255744,,0.317088
2000/1/4,2000,1,4,,0.84672,0.284256,0.0252288,,0.321408
2000/1/5,2000,1,5,,0.84672,0.288576,0.0262656,,0.324864
2000/1/6,2000,1,6,,0.84672,0.292032,0.0268704,,0.329184
2000/1/7,2000,1,7,,0.84672,0.296352,0.026784,,0.333504
2000/1/8,2000,1,8,,0.84672,0.300672,0.0262656,,0.337824
2000/1/9,2000,1,9,,0.84672,0.304128,0.0258336,,0.342144
2000/1/10,2000,1,10,,0.84672,0.308448,0.0241056,,0.346464
2000/1/11,2000,1,11,,0.8424,0.311904,0.0241056,,0.349056
2000/1/12,2000,1,12,,0.8208,0.316224,0.02376,,0.351648
2000/1/13,2000,1,13,,0.8208,0.320544,0.0236736,,0.35424
2000/1/14,2000,1,14,,0.81216,0.324,0.0236736,,0.353376
2000/1/15,2000,1,15,,0.7992,0.32832,0.0222912,,0.352512
2000/1/16,2000,1,16,,0.78624,0.331776,0.0221184,,0.34992
2000/1/17,2000,1,17,,0.7776,0.336096,0.0221184,,0.347328
2000/1/18,2000,1,18,,0.77328,0.339552,0.0222912,,0.342144
2000/1/19,2000,1,19,,0.76896,0.343872,0.0223776,,0.337824
2000/1/20,2000,1,20,,0.76464,0.34128,0.0223776,,0.334368
2000/1/21,2000,1,21,,0.76464,0.339552,0.0209952,,0.330912
2000/1/22,2000,1,22,,0.76896,0.33696,0.0209952,,0.327456
2000/1/23,2000,1,23,,0.76896,0.334368,0.0209088,,0.325728
2000/1/24,2000,1,24,,0.76896,0.331776,0.0209088,,0.322272
2000/1/25,2000,1,25,,0.77328,0.330048,0.020736,,0.318816
2000/1/26,2000,1,26,,0.7776,0.327456,0.0204768,,0.317088
2000/1/27,2000,1,27,,0.78192,0.324864,0.0204768,,0.316224
2000/1/28,2000,1,28,,0.79488,0.322272,0.0204768,,0.314496
2000/1/29,2000,1,29,,0.7992,0.320544,0.0196128,,0.313632
2000/1/30,2000,1,30,,0.80352,0.317952,0.020304,,0.312768
2000/1/31,2000,1,31,,0.81216,0.31536,0.020304,,0.31104
2000/2/1,2000,2,1,,0.82944,0.320544,0.0200448,,0.310176
2000/2/2,2000,2,2,,0.82944,0.326592,0.020304,,0.309312
2000/2/3,2000,2,3,,0.83376,0.331776,0.0204768,,0.30672
2000/2/4,2000,2,4,,0.83808,0.337824,0.0195264,,0.304992
2000/2/5,2000,2,5,,0.84672,0.343008,0.019872,,0.301536
2000/2/6,2000,2,6,0.39312,0.84672,0.34128,0.0197856,,0.299808
2000/2/7,2000,2,7,0.3929472,0.85104,0.338688,0.01944,,0.298944
2000/2/8,2000,2,8,0.3914784,0.85104,0.33696,0.0197856,,0.296352
2000/2/9,2000,2,9,0.3912192,0.85104,0.334368,0.0199584,,0.29376
2000/2/10,2000,2,10,0.3910464,0.85104,0.33264,0.0184896,,0.291168
2000/2/11,2000,2,11,,0.85104,0.330048,0.0183168,,0.288576
2000/2/12,2000,2,12,,0.85104,0.32832,0.0186624,,0.286848
2000/2/13,2000,2,13,,0.84672,0.326592,0.0188352,,0.286848
2000/2/14,2000,2,14,,0.84672,0.324,0.0187488,,0.285984
2000/2/15,2000,2,15,,0.84672,0.322272,0.0187488,,0.283392
2000/2/16,2000,2,16,,0.84672,0.31968,0.01728,,0.281664
2000/2/17,2000,2,17,,0.8424,0.317952,0.01728,,0.2808
2000/2/18,2000,2,18,,0.83808,0.31536,0.01728,,0.2808
2000/2/19,2000,2,19,,0.83808,0.313632,0.01728,,0.279936
2000/2/20,2000,2,20,,0.8424,0.311904,0.01728,,0.277344
2000/2/21,2000,2,21,,0.8424,0.309312,0.0171936,,0.275616
2000/2/22,2000,2,22,,0.8424,0.307584,0.0171072,,0.274752
2000/2/23,2000,2,23,,0.8424,0.304992,0.0171072,,0.27216
2000/2/24,2000,2,24,,0.8424,0.303264,0.0152928,,0.270432
2000/2/25,2000,2,25,,0.83808,0.300672,0.0152064,,0.268704
2000/2/26,2000,2,26,,0.83376,0.298944,0.0150336,,0.26784
2000/2/27,2000,2,27,,0.82944,0.29808,0.0149472,,0.266976
2000/2/28,2000,2,28,,0.82512,0.297216,0.0148608,,0.266976
