"year","Ob","Yenisey","Lena","Kolyma","Yukon","Mackenzie"
2000,125.852544191027,134.168983075263,127.290808487904,127.583412642787,134.372437220115,124.220419329362
2001,126.219872884076,133.621793772138,127.111991721375,128.320016865993,134.618421502879,124.376915086335
2002,125.907430374529,134.630984309756,127.241739966857,127.128598524622,135.567265663831,124.224033910797
2003,126.448899884922,134.754123172309,126.722555193305,128.404945446604,131.769617401451,123.930702982452
2004,125.541487828961,133.910080502639,126.062402096127,126.28416375115,131.7392702171,124.112332156399
2005,126.970612648354,134.395624078243,128.644659426481,127.246961717739,135.400401545225,124.217201317534
2006,126.101913572425,133.268689875028,129.688363158743,127.055896439951,136.275342009022,124.273963257734
2007,125.546730372334,133.704192048871,128.427601814687,127.671567568369,132.436252744589,123.950952630199
2008,125.839243854662,134.261384581949,128.074364487216,127.557375117311,135.681840241503,124.053399069349
2009,125.815208784189,133.849947583333,128.105372218082,127.953702642302,134.506643619104,124.051502884403
2010,125.331262711566,134.381284464235,130.384093879347,125.772827741425,133.554119702315,123.940889322514
2011,126.495988132855,132.967766356707,128.666569683928,126.803938104898,133.434933864718,124.134360796667
2012,126.254754718342,132.13753683994,129.588218866327,126.761863671696,136.134560044261,123.936194060889
2013,127.008943400106,134.146816966103,130.058242597946,127.765167521111,135.751963664228,124.072546680805
2014,127.146240488439,134.993196168491,127.74619338195,128.560586815662,133.978640163655,123.824221681416
2015,126.253563383313,132.806554086151,126.545977859971,126.620933411043,133.123378187013,123.854856832491
2016,127.341846369885,132.487067924109,129.223768682621,128.03777089202,131.724809674741,124.086283206489
2017,125.594230577564,132.938552006738,128.08609212833,128.890232936508,133.353051056135,124.079736140753
2018,126.265688797276,133.667661639867,129.634845325895,125.164113824644,134.441382406835,124.179970932253
2019,126.404255692839,133.525089365577,129.683527700233,127.144639698457,135.141309343608,123.247573816153
2020,126.183843649624,133.807632740503,130.381493292127,128.300864720794,134.085448287326,123.729442708134
2021,125.980453198719,134.258108757571,130.887126027198,127.520902125432,132.507897645635,123.918746159656
2022,127.33766873883,132.982748101599,129.909066751338,127.518889162684,133.937804273628,124.2970449988
2023,125.684132027064,134.805485391461,128.452310901594,128.503480616475,137.490020378954,124.014791093162
2024,126.408791426077,134.055052198558,130.773668335112,127.942070843544,136.913446822622,124.111688187357
2025,126.093926682278,134.803659143006,125.754978195049,127.65896206408,136.395689642574,123.732978654057
