"year","Ob","Yenisey","Lena","Kolyma","Yukon","Mackenzie"
2000,146.038727211477,146.713932939153,155.43401421055,159.524676684552,148.957588032869,142.933717252605
2001,149.740221156213,148.999885481512,157.350175021884,155.65293119151,154.483041310657,144.808897035852
2002,146.211895065745,146.188989194028,157.703381260863,159.664134278688,150.005165102325,144.208920660813
2003,147.710541378712,148.505540901103,160.60289254087,161.593739200129,148.298749500509,144.162171598223
2004,150.192592276983,151.91502300176,163.164957488737,162.305635985045,149.52130398592,142.967341763307
2005,146.904496615058,142.248432090072,154.574562126132,156.479823077254,145.968078899455,143.517452305732
2006,149.140995657116,150.136260781149,159.216853193122,158.74203134461,149.810177174726,142.752161249894
2007,146.009708804317,144.763551316852,156.117931904593,155.138026252696,146.406293031619,144.018014769607
2008,148.435431479673,147.830919610836,157.035744266974,156.875175048401,149.911185361172,143.767354878635
2009,147.676859827402,147.313826047829,157.837101734624,158.957194041806,149.828392065924,145.560712506182
2010,146.460710590186,147.242593823675,156.327899074966,154.449849443223,145.984938133673,136.911900142073
2011,142.92755118264,138.594690980326,155.601989812505,164.330255267234,149.013372212636,143.910896537465
2012,141.752083370329,145.564287970269,154.087757063615,155.320894598449,150.769609609289,146.37316990268
2013,146.540128535685,146.426468352299,154.294558882062,157.306545715028,154.619827874051,145.625142074228
2014,145.301067780194,148.097709797815,153.047393761082,164.235448468064,147.061469530782,142.490673154114
2015,144.225398869442,146.608963031421,156.401352097286,164.160153655888,146.875339527564,140.871531622825
2016,142.522764011937,145.950516788488,158.529519264147,154.981773517139,144.879687745274,141.990184526543
2017,145.498534379636,148.856654615711,159.517146109714,160.489533397421,147.290679809047,142.756454338133
2018,147.915335830525,150.191448128265,156.926353985771,162.634237707679,149.616799141681,141.501369706358
2019,145.758649891985,148.732968141541,156.881051123563,156.56515270025,147.290016054938,138.639903798269
2020,144.149585807273,137.592203260799,156.918852442314,159.682511793472,148.045211342156,147.088704007541
2021,143.390696597016,143.614018095818,154.548539363368,157.620943603745,147.995325646783,140.946531731338
2022,147.415660765772,141.446928169716,155.802910873873,156.103190621265,151.622099858232,145.502267761267
2023,145.614169990684,145.224342060963,159.167084432372,157.416877344874,150.808975164768,140.895973905022
2024,148.6809506689,146.286440632549,156.099239614229,153.713017703253,149.117311933788,139.298706874813
2025,147.03977131621,144.665914149892,155.042270162597,157.980739170055,148.562699099227,144.751008198794
