day_number,Ob,Yenisey,Lena,Kolyma,Yukon,Mackenzie
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,2.807,
20,,,,,2.93525,
21,,,,,3.203375,
22,,,,,3.104583333,
23,,,,,3.126923077,
24,,,,,3.111866667,
25,,,,,3.096411765,
26,,,,,3.0525,
27,,,,,3.126,
28,,,,,3.108,
29,,,,,3.068863636,
30,,,,,3.059,
31,,,,,3.052833333,
32,,,,,3.03675,
33,,,,,3.09428,
34,,,,,3.07064,
35,,,,,3.0576,
36,,,,,3.07868,
37,7.623,,,,3.07912,
38,8.071,,,,3.076,4.205
39,7.921666667,3.42,,,3.0692,4.250916667
40,7.90325,3.044,,,3.11588,4.182933333
41,7.70375,3.029333333,,,3.062708333,4.191684211
42,7.79925,3.079,,,3.0785,4.16455
43,7.7946,2.90575,,2.8345,3.087541667,4.149409091
44,7.744857143,3.283285714,,3.017,3.082916667,4.137227273
45,7.752333333,3.256727273,,3.194,3.0825,4.181869565
46,7.746555556,3.433153846,,3.136375,3.104304348,4.145130435
47,7.739333333,3.531533333,,3.355666667,3.091130435,4.1375
48,7.765555556,3.563055556,6.518,3.2099,3.125826087,4.135541667
49,7.7571,3.459111111,6.378333333,3.1785,3.076458333,4.137291667
50,7.7597,3.386388889,6.2882,3.316538462,3.048833333,4.1275
51,7.763,3.372277778,6.306285714,3.396375,3.072541667,4.10752
52,7.743916667,3.2404,6.302857143,3.442055556,3.0655,4.0812
53,7.755454545,3.217,6.291444444,3.469095238,3.031041667,4.07768
54,7.7412,3.186,6.2798,3.405952381,3.03216,4.07156
55,7.7425,3.24565,6.344692308,3.446571429,3.004461538,4.052730769
56,7.7476,3.18865,6.319157895,3.386,3.051423077,4.050269231
57,7.686636364,3.228409091,6.453142857,3.379636364,3.056115385,4.051692308
58,7.666818182,3.239583333,6.328952381,3.361045455,3.055769231,4.050115385
59,7.584363636,3.272952381,6.273761905,3.232590909,3.042384615,4.033384615
60,7.715,3.384,6.397666667,3.0735,3.114285714,4.018428571
61,7.614888889,3.235772727,6.238380952,3.253954545,3.033576923,4.035423077
62,7.62325,3.265090909,6.229318182,3.227,3.0305,4.038192308
63,7.583846154,3.231434783,6.137954545,3.181958333,3.013692308,4.025038462
64,7.519454545,3.164043478,6.117434783,3.2274,2.97768,4.018961538
65,7.557416667,3.156681818,6.15152,3.233458333,2.982,4.012807692
66,7.506461538,3.125608696,6.182916667,3.241458333,2.99352,4.006269231
67,7.503230769,3.10726087,6.231,3.200333333,2.966076923,4.002923077
68,7.463692308,3.069565217,6.16216,3.213333333,2.9675,3.988653846
69,7.505642857,3.059625,6.16132,3.261434783,2.971884615,3.978730769
70,7.471571429,3.0744,6.17092,3.174434783,2.946576923,3.986538462
71,7.455928571,3.05868,6.22096,3.160130435,2.954346154,3.985461538
72,7.419428571,3.05412,6.14628,3.144130435,2.95348,3.987730769
73,7.3903125,3.0208,6.129653846,3.065391304,2.95544,3.990153846
74,7.38975,3.00276,6.09904,3.064173913,2.95656,3.987730769
75,7.4183125,2.99432,6.082,3.169652174,2.94356,3.985769231
76,7.4176,2.985115385,6.03928,3.127782609,2.93396,3.988115385
77,7.390266667,2.977846154,6.044375,3.176521739,2.917846154,3.993076923
78,7.381333333,2.957307692,6.031695652,3.172590909,2.905153846,3.996807692
