day_number,Ob,Yenisey,Lena,Kolyma,Yukon,Mackenzie
1,0.525764736,0.813655385,0.375463296,0.04245696,0.2020644,0.382469538
2,0.525806208,0.814652308,0.376085376,0.041326848,0.1997676,0.383898462
3,0.526386816,0.814286769,0.376766208,0.040614912,0.1982484,0.384715938
4,0.526912128,0.815616,0.377305344,0.040131072,0.1966608,0.385483569
5,0.52683264,0.817942154,0.377875584,0.040006656,0.1952928,0.385825846
6,0.5219424,0.821232,0.378082944,0.039574656,0.1940184,0.386264492
7,0.516934656,0.823890462,0.378359424,0.038952576,0.192834,0.386689846
8,0.511906176,0.825851077,0.37846656,0.03882816,0.1912608,0.386703138
9,0.5075136,0.826848,0.379085184,0.038123136,0.1902672,0.386397415
10,0.501970176,0.827811692,0.3785184,0.038098944,0.1888236,0.386334277
11,0.500076288,0.825884308,0.377941248,0.037615104,0.1874268,0.3858624
12,0.498265344,0.825153231,0.377194752,0.03737664,0.1859976,0.385643077
13,0.4967136,0.824787692,0.376797312,0.037300608,0.1842588,0.385008369
14,0.4952448,0.824555077,0.37604736,0.036896256,0.1831716,0.3841344
15,0.493264512,0.824488615,0.375003648,0.03621888,0.1818432,0.383094277
16,0.494643456,0.823790769,0.373496832,0.035911296,0.1804536,0.381881354
17,0.495946368,0.822228923,0.372197376,0.035724672,0.1792908,0.380312862
18,0.497449728,0.821032615,0.370427904,0.035921664,0.1772208,0.378508431
19,0.499118976,0.820633846,0.368416512,0.035672832,0.17586,0.376803692
20,0.500660352,0.820534154,0.366177024,0.035703936,0.174582,0.375165415
21,0.498016512,0.819670154,0.363982464,0.034953984,0.1734228,0.373464
22,0.496122624,0.818507077,0.361677312,0.035050752,0.1719828,0.371932062
23,0.493444224,0.817975385,0.3587328,0.035313408,0.1710252,0.370356923
24,0.490831488,0.816646154,0.356120064,0.03523392,0.1699416,0.369021046
25,0.488820096,0.816147692,0.353051136,0.035686656,0.1685592,0.367801477
26,0.484213248,0.815084308,0.349881984,0.038714112,0.1674828,0.366764677
27,0.479457792,0.815582769,0.346622976,0.038251008,0.166104,0.365435446
28,0.474564096,0.815582769,0.343557504,0.038320128,0.1648512,0.363773908
29,0.47013696,0.816546462,0.340350336,0.038468736,0.1637712,0.362428062
30,0.465599232,0.817377231,0.337378176,0.038693376,0.1626912,0.361055631
31,0.460791936,0.818573538,0.33438528,0.036878976,0.1617048,0.359663262
32,0.458096256,0.818507077,0.331903872,0.037494144,0.1604772,0.358729477
33,0.455715072,0.817643077,0.329526144,0.036623232,0.1591668,0.357968492
34,0.453109248,0.817942154,0.32705856,0.035738496,0.1582884,0.357224123
35,0.450423936,0.817543385,0.324736128,0.03456,0.1571076,0.356346831
36,0.447731712,0.816978462,0.32230656,0.033606144,0.1560672,0.355187077
37,0.444358523,0.815948308,0.319686912,0.03132864,0.1552284,0.354080492
38,0.442407877,0.815084308,0.316998144,0.031100544,0.1541592,0.353113477
39,0.441045415,0.814685538,0.314516736,0.030768768,0.1534392,0.351780923
40,0.439447015,0.812326154,0.312062976,0.029604096,0.1519056,0.350780677
41,0.437353477,0.811096615,0.309419136,0.028760832,0.1509444,0.350029662
42,0.436848768,0.809036308,0.306955008,0.028695168,0.1503288,0.349195569
43,0.43416,0.807175385,0.30456,0.028722816,0.1495224,0.3484944
44,0.432027648,0.805314462,0.302199552,0.028912896,0.1485,0.347912862
45,0.43028928,0.804948923,0.299659392,0.029016576,0.1478556,0.347131938
46,0.42780096,0.803918769,0.297070848,0.028715904,0.1471932,0.346125046
47,0.426563712,0.802988308,0.294668928,0.028560384,0.1463004,0.345327508
48,0.424849536,0.802290462,0.292156416,0.028276992,0.1452636,0.344616369
49,0.423283968,0.801592615,0.289840896,0.028059264,0.1442664,0.344024862
50,0.421638912,0.800894769,0.28740096,0.02804544,0.1437012,0.343346954
