Arctic_continuous,Arctic_discontinuous,Arctic_isolated,Arctic_no_permafrost,Arctic_sporadic
33.630287,NA,14.542326,NA,NA
34.524269,27.250978,NA,NA,31.191676
30.839305,26.52207,NA,0.49483,30.857993
29.273664,29.204138,16.553748,NA,NA
28.982976,NA,19.555488,6.916898,NA
NA,NA,NA,7.068787,26.884684
26.510822,NA,16.512465,NA,25.845291
NA,NA,18.577668,7.48174,24.237462
27.029911,NA,12.467111,0.224534,NA
32.219344,30.133074,18.764629,7.560975,NA
30.042541,29.544652,18.240966,7.518344,NA
NA,29.982588,17.993439,7.170989,22.381579
31.73636,30.018196,15.973727,7.467238,8.7857
32.684543,NA,17.231296,NA,28.66557
31.771952,NA,18.315783,7.301103,NA
32.999068,30.096781,12.658772,6.853118,9.900382
NA,30.804252,17.477008,7.143411,21.305155
34.662258,NA,17.9147,-0.372381,26.161374
NA,18.977374,18.558517,NA,27.846167
33.738952,18.931724,18.333536,NA,30.136614
31.943468,23.797372,18.30609,NA,24.860506
30.678636,19.252378,18.688953,NA,27.772288
32.179191,19.186581,14.767329,NA,23.197286
33.360229,18.541448,18.212226,2.90457,30.766193
31.026299,23.151678,18.016984,NA,6.041312
28.469374,19.054339,13.542847,NA,6.026577
26.245452,19.155748,18.420469,18.61462,10.464632
27.849812,22.867663,13.782641,17.449897,19.687437
NA,18.673566,17.781642,16.369206,13.767393
NA,NA,17.845043,7.551484,NA
32.446373,18.867332,18.336128,NA,NA
31.622797,17.874561,17.668808,NA,NA
NA,18.64217,18.344162,15.174011,NA
30.642959,19.196787,16.972162,NA,NA
27.201145,19.156989,17.601826,NA,5.403254
27.256081,21.846217,18.303663,7.315124,NA
29.960611,19.196916,NA,19.677469,NA
32.262087,22.852691,15.328871,20.111288,5.043186
29.120812,19.042245,18.378483,NA,9.407998
NA,23.033066,NA,NA,4.180869
30.947696,21.221835,18.377917,11.29422,6.388718
31.677107,18.183921,NA,11.135562,3.430471
25.049736,22.512828,17.343627,NA,4.494219
31.115989,18.951303,17.522579,NA,4.305139
24.820009,18.634454,17.135201,18.826868,7.394901
27.131959,17.882362,17.579608,17.501239,9.849245
26.317354,18.844474,NA,-0.264539,5.785305
28.975683,19.017845,13.229604,11.057889,3.836748
28.176408,18.296448,18.163025,11.118016,3.461052
27.458529,18.247418,NA,11.102223,3.742958
26.713915,17.964338,NA,NA,4.050753
27.846271,18.644996,17.912524,NA,19.887961
29.673225,20.848043,NA,NA,5.521177
29.456363,18.901773,NA,13.765375,19.431834
29.962218,18.850848,NA,10.236181,4.330942
22.421384,19.048464,17.299723,15.107977,23.142991
21.636844,NA,17.689484,-1.329138,23.329604
25.483368,NA,17.630657,10.931919,21.676934
30.73203,18.651258,17.886775,4.154808,NA
26.468306,20.598909,NA,3.980525,19.646954
25.910475,18.657836,17.883681,4.203774,20.22945
24.576978,20.05174,17.130287,4.127967,NA
24.663239,18.894175,17.580649,3.32142,NA
24.583066,18.887475,17.411106,3.049149,7.530387
NA,19.118375,17.994457,3.303008,NA
21.838938,19.122851,16.388091,3.01589,28.148228
24.544652,18.956638,17.465798,13.379612,NA
23.633695,18.891054,17.664219,13.160617,19.976038
NA,19.02622,17.944962,NA,20.30908
23.196571,NA,NA,NA,23.014425
23.848937,19.08663,NA,NA,NA
23.867166,18.316322,14.149771,NA,NA
23.216736,NA,18.001075,NA,NA
23.099398,18.137605,17.832534,NA,19.900364
22.820683,18.218688,17.290146,4.346657,3.230369
22.739131,11.076646,19.423318,7.392375,22.271818
24.36373,18.270218,NA,6.582344,28.237242
25.75018,18.244332,NA,7.088203,17.843199
NA,NA,15.931802,NA,19.305833
30.003495,10.850615,18.130609,NA,19.414704
25.024659,17.746701,18.024773,NA,4.757303
23.745012,13.462874,2.727953,NA,24.446083
24.01589,10.780801,NA,NA,NA
23.561937,10.754318,NA,NA,NA
23.644516,29.879032,NA,4.993388,NA
23.740239,34.301742,NA,7.082451,28.413844
23.762756,NA,10.928533,-1.072518,28.209901
23.76091,19.563325,18.091329,-0.360415,17.987771
24.659604,19.686905,NA,2.29522,17.86567
23.507959,20.30726,NA,NA,4.546663
24.542659,19.13571,2.480602,NA,25.36438
29.933578,19.363306,NA,NA,NA
29.246309,19.399091,NA,1.548793,18.915434
26.342059,19.622723,NA,7.959802,19.163861
23.571245,26.897572,17.875757,NA,7.17792
22.795073,20.060205,5.791958,13.353115,3.964509
22.774467,19.909209,2.303556,13.261,25.119018
30.506711,35.22917,NA,NA,19.274274
27.06217,19.227821,NA,NA,19.246058
19.075459,19.550873,NA,NA,6.721537
23.684636,28.068088,17.986345,NA,3.453905
26.442568,19.052301,3.401718,1.207881,25.093509
20.701592,NA,NA,NA,19.946477
18.19482,NA,NA,NA,NA
25.790899,NA,NA,NA,3.547212
18.166317,NA,NA,6.443271,3.03076
25.068912,NA,NA,NA,24.535646
22.844204,NA,NA,8.043416,NA
24.586534,NA,NA,15.259956,19.999637
24.569302,NA,11.644101,NA,19.587501
23.219753,NA,18.198011,0.523212,19.057654
NA,NA,-3.361647,-0.816633,18.53613
29.767274,NA,4.519198,1.680085,4.79481
21.663717,NA,NA,15.355316,3.439845
18.356576,NA,21.343436,14.393441,24.616229
18.109807,NA,21.305285,-0.673686,21.794669
23.471262,NA,20.95786,-1.536454,22.075422
23.372415,NA,19.811328,NA,19.538607
25.471868,NA,NA,NA,18.8778
17.868358,24.125,NA,NA,9.63976
23.180027,19.397471,NA,17.552735,4.566884
23.282999,18.82937,NA,-0.954452,23.183299
23.159904,NA,NA,14.390535,23.594367
23.47376,NA,NA,0.273821,24.983119
24.979012,19.414927,NA,14.912649,18.692328
19.763089,20.008124,17.616708,14.391167,18.44587
23.395353,20.498226,17.765601,0.10259,NA
21.653713,20.420767,8.322535,12.627217,12.000204
17.147813,25.434047,4.195128,14.595937,NA
23.454118,19.636444,6.130219,-1.464504,25.481654
23.177526,NA,1.71515,11.705469,19.555189
23.603747,NA,17.630932,13.854022,19.205061
11.27686,19.404046,18.872817,0.18594,19.522397
11.505189,19.629752,19.260873,7.275843,10.661395
11.590861,19.405459,NA,13.815739,8.557107
12.183134,19.943696,NA,3.024854,25.196001
11.51734,27.672441,NA,2.563992,24.824724
11.297925,20.468113,NA,10.358597,22.349072
11.535311,19.857729,NA,NA,19.43451
11.849099,NA,NA,14.182546,NA
11.970325,12.91826,NA,NA,10.987724
11.837788,12.844581,NA,NA,6.248724
13.253552,NA,NA,0.826492,25.169933
14.928416,NA,NA,1.323528,19.462243
12.912739,12.780049,NA,NA,4.10439
23.726053,12.76073,NA,NA,24.29721
NA,NA,12.806022,15.810006,24.863834
10.992282,19.183617,17.90731,-0.752491,19.586006
10.883132,30.315374,7.779407,-1.199429,24.525453
10.950011,20.086825,8.131002,-0.816756,6.744422
26.171846,19.454768,18.897402,NA,5.643372
12.910659,20.064503,NA,NA,23.811875
11.759844,21.571121,NA,15.560044,24.23363
11.855796,20.362883,NA,15.893002,22.124363
25.609647,20.412029,NA,5.403931,24.742526
23.554894,21.202743,NA,-0.490743,2.573818
