ID	lon	lat	DOC	POC	discharge	QlagDOC	QlagPOC	FID_1
5842	127.625	72.425	124.221962	143.232046	157.852249	33.630287	14.620203	NA
5843	127.675	72.425	124.931764	144.494797	159.456033	34.524269	14.961236	NA
12345	126.775	72.375	127.133705	144.958163	157.97301	30.839305	13.014847	NA
12365	127.775	72.375	128.817666	145.749943	158.09133	29.273664	12.341387	NA
12366	127.825	72.375	130.896674	148.559927	159.879651	28.982976	11.319724	NA
18867	126.875	72.325	NA	NA	157.963028	NA	NA	NA
18888	127.925	72.325	131.593693	150.809934	158.104514	26.510822	7.29458	NA
18889	127.975	72.325	NA	NA	158.11482	NA	NA	NA
25411	128.075	72.275	131.101161	150.624157	158.131072	27.029911	7.506915	NA
31908	126.925	72.225	125.728147	143.508412	157.947491	32.219344	14.439078	NA
38428	126.925	72.175	127.89348	147.186285	157.936021	30.042541	10.749736	NA
44980	128.525	72.125	NA	NA	162.260233	NA	NA	NA
57990	127.025	72.025	126.088707	144.770677	157.825067	31.73636	13.05439	NA
57991	127.075	72.025	125.138906	143.458953	157.823448	32.684543	14.364496	NA
64511	127.075	71.975	125.032897	144.816486	156.80485	31.771952	11.988364	NA
64514	127.225	71.975	124.81484	143.631859	157.813908	32.999068	14.182048	NA
90594	127.225	71.775	NA	NA	154.907111	NA	NA	NA
97114	127.225	71.725	123.065522	142.968279	157.72778	34.662258	14.759501	NA
103635	127.275	71.675	NA	NA	155.148703	NA	NA	NA
110155	127.275	71.625	123.929654	141.911149	157.668606	33.738952	15.757456	NA
116675	127.275	71.575	125.694678	145.154748	157.638147	31.943468	12.483399	NA
116676	127.325	71.575	126.949596	145.32111	157.628232	30.678636	12.307122	NA
123196	127.325	71.525	125.445928	144.293844	157.625119	32.179191	13.331275	NA
129716	127.325	71.475	124.254374	143.165158	157.614603	33.360229	14.449445	NA
136236	127.325	71.425	126.559762	144.663898	157.586061	31.026299	12.922163	NA
142755	127.275	71.375	129.080668	145.474363	157.550043	28.469374	12.075679	NA
142756	127.325	71.375	127.772847	145.252383	154.018299	26.245452	8.765917	NA
149275	127.275	71.325	129.662169	147.028472	157.511981	27.849812	10.483508	NA
155795	127.275	71.275	NA	NA	157.483337	NA	NA	NA
155796	127.325	71.275	NA	NA	154.319676	NA	NA	NA
162316	127.325	71.225	125.01243	143.977524	157.458803	32.446373	13.481279	NA
168836	127.325	71.175	125.833946	144.274339	157.456743	31.622797	13.182404	NA
168837	127.375	71.175	NA	NA	153.459282	NA	NA	NA
175357	127.375	71.125	126.797747	145.479083	157.440705	30.642959	11.961622	NA
175358	127.425	71.125	130.205386	147.608646	157.406531	27.201145	9.797885	NA
181878	127.425	71.075	128.137279	146.700791	155.39336	27.256081	8.692569	NA
181879	127.475	71.075	127.443528	146.170691	157.404139	29.960611	11.233448	NA
181880	127.525	71.075	125.128138	144.300467	157.390225	32.262087	13.089758	NA
188400	127.525	71.025	124.863514	144.130674	153.984326	29.120812	9.853652	NA
188401	127.575	71.025	NA	NA	157.387255	NA	NA	NA
194920	127.525	70.975	126.411233	144.683262	157.358929	30.947696	12.675667	NA
194921	127.575	70.975	125.700062	143.052111	157.377169	31.677107	14.325058	NA
201439	127.475	70.925	132.299483	150.626101	157.349219	25.049736	6.723118	NA
201440	127.525	70.925	126.240982	144.706371	157.356972	31.115989	12.6506	NA
207959	127.475	70.875	132.526242	150.81296	157.346251	24.820009	6.53329	NA
207960	127.525	70.875	130.209831	148.293344	157.341789	27.131959	9.048445	NA
214480	127.525	70.825	127.904513	146.293289	154.221867	26.317354	7.928578	NA
214481	127.575	70.825	128.362539	146.108824	157.338222	28.975683	11.229398	NA
214482	127.625	70.825	129.15336	146.874253	157.329768	28.176408	10.455514	NA
221000	127.525	70.775	129.834822	148.537952	157.293351	27.458529	8.755399	NA
221001	127.575	70.775	130.581287	149.042972	157.295202	26.713915	8.252231	NA
221002	127.625	70.775	129.481333	147.974441	157.327605	27.846271	9.353164	NA
227517	127.375	70.725	127.595504	145.097452	157.268728	29.673225	12.171276	NA
227518	127.425	70.725	127.815256	146.382079	157.271619	29.456363	10.88954	NA
227519	127.475	70.725	127.325307	145.8718	157.287524	29.962218	11.415724	NA
227520	127.525	70.725	129.834822	148.537952	152.256206	22.421384	3.718254	NA
234034	127.225	70.675	132.759072	151.18146	154.395916	21.636844	3.214457	NA
234035	127.275	70.675	131.771022	150.561338	157.25439	25.483368	6.693052	NA
234036	127.325	70.675	126.534577	145.424248	157.266607	30.73203	11.842359	NA
234037	127.375	70.675	126.927838	145.580286	153.396144	26.468306	7.815858	NA
240553	127.175	70.625	131.330227	149.787626	157.240702	25.910475	7.453076	NA
240554	127.225	70.625	132.673169	150.979292	157.250147	24.576978	6.270854	NA
247071	127.075	70.575	132.552518	151.205454	157.215757	24.663239	6.010303	NA
