ID	lon	lat	DOC	POC	discharge	QlagDOC	QlagPOC	FID
1217313	65.175	63.125	124.831529	122.987915	139.373855	14.542326	16.38594	NA
1223832	65.125	63.075	NA	NA	142.134821	NA	NA	NA
1223833	65.175	63.075	NA	NA	144.073169	NA	NA	NA
1230350	65.025	63.025	126.709722	123.064172	143.26347	16.553748	20.199298	NA
1230351	65.075	63.025	124.744788	122.747014	144.300275	19.555488	21.553261	NA
1230352	65.125	63.025	NA	NA	144.028916	NA	NA	NA
1236870	65.025	62.975	126.734836	123.04935	143.247301	16.512465	20.197951	NA
1236871	65.075	62.975	124.643539	122.676262	143.221207	18.577668	20.544945	NA
1243391	65.075	62.925	124.268669	122.786421	136.73578	12.467111	13.949359	NA
1243392	65.125	62.925	124.452891	122.851626	143.217519	18.764629	20.365894	NA
1243393	65.175	62.925	124.96419	122.897237	143.205156	18.240966	20.307919	NA
1243394	65.225	62.925	125.208156	123.043095	143.201596	17.993439	20.1585	NA
1249914	65.225	62.875	125.126478	123.086577	141.100205	15.973727	18.013628	NA
1249915	65.275	62.875	125.967981	122.985309	143.199277	17.231296	20.213968	NA
1249916	65.325	62.875	124.874203	122.794543	143.189987	18.315783	20.395443	NA
1256436	65.325	62.825	125.110639	122.824491	137.769412	12.658772	14.94492	NA
1256437	65.375	62.825	125.710227	122.509711	143.187235	17.477008	20.677524	NA
1262957	65.375	62.775	125.267102	122.874175	143.181802	17.9147	20.307627	NA
1262958	65.425	62.775	125.029668	123.099522	143.588184	18.558517	20.488662	NA
1269478	65.425	62.725	124.84148	123.063332	143.175016	18.333536	20.111684	NA
1269479	65.475	62.725	124.839975	123.26476	143.146065	18.30609	19.881305	NA
1269480	65.525	62.725	124.448502	123.183526	143.137455	18.688953	19.953929	NA
1276000	65.525	62.675	124.558218	123.251739	139.325547	14.767329	16.073808	NA
1276001	65.575	62.675	124.922661	122.868313	143.134887	18.212226	20.266574	NA
1276002	65.625	62.675	125.109277	122.590345	143.126261	18.016984	20.535917	NA
1282522	65.625	62.625	125.152124	122.562419	138.694972	13.542847	16.132552	NA
1282523	65.675	62.625	124.703408	123.151742	143.123877	18.420469	19.972135	NA
1289043	65.675	62.575	124.833607	123.220563	138.616248	13.782641	15.395686	NA
1289044	65.725	62.575	125.332335	123.280895	143.113977	17.781642	19.833082	NA
1289045	65.775	62.575	125.260198	122.775652	143.105241	17.845043	20.329589	NA
1295565	65.775	62.525	124.766358	122.761873	143.102486	18.336128	20.340613	NA
1295566	65.825	62.525	125.426359	122.806743	143.095168	17.668808	20.288424	NA
1295567	65.875	62.525	124.746627	123.351064	143.090789	18.344162	19.739725	NA
1302087	65.875	62.475	124.783625	123.168111	141.755787	16.972162	18.587676	NA
1302088	65.925	62.475	125.493905	122.898093	143.095731	17.601826	20.197638	NA
1302089	65.975	62.475	124.783532	123.366483	143.087194	18.303663	19.720711	NA
1308520	61.525	62.425	NA	NA	141.516349	NA	NA	NA
1308609	65.975	62.425	124.783532	123.366483	140.112403	15.328871	16.74592	NA
1308610	66.025	62.425	124.702943	123.098265	143.081425	18.378483	19.98316	NA
1308611	66.075	62.425	NA	NA	143.075445	NA	NA	NA
1308612	66.125	62.425	124.688661	123.434891	143.066579	18.377917	19.631687	NA
1308613	66.175	62.425	NA	NA	143.059912	NA	NA	NA
1308614	66.225	62.425	125.712317	122.896298	143.055944	17.343627	20.159646	NA
1308615	66.275	62.425	125.529093	122.95564	143.051672	17.522579	20.096033	NA
1308616	66.325	62.425	125.913399	122.855538	143.0486	17.135201	20.193061	NA
1308617	66.375	62.425	125.459649	122.690441	143.039257	17.579608	20.348817	NA
1315039	61.475	62.375	NA	NA	141.484247	NA	NA	NA
1315137	66.375	62.375	126.010112	122.862689	139.239716	13.229604	16.377027	NA
1315138	66.425	62.375	124.873159	122.952228	143.036185	18.163025	20.083956	NA
1315139	66.475	62.375	NA	NA	143.027686	NA	NA	NA
1321559	61.475	62.325	NA	NA	143.268706	NA	NA	NA
1321659	66.475	62.325	125.112797	122.895612	143.02532	17.912524	20.129708	NA
1328079	61.475	62.275	NA	NA	143.276071	NA	NA	NA
1328080	61.525	62.275	NA	NA	138.981355	NA	NA	NA
1328179	66.475	62.275	NA	NA	139.321726	NA	NA	NA
1328180	66.525	62.275	125.719868	122.885362	143.019591	17.299723	20.134229	NA
1328181	66.575	62.275	125.318779	122.954243	143.008263	17.689484	20.054021	NA
1328182	66.625	62.275	125.373664	123.038301	143.00432	17.630657	19.966019	NA
