ID	lon	lat	DOC	POC	discharge	QlagDOC	QlagPOC	FID_1
1428803	-118.325	61.475	NA	NA	131.601303	NA	NA	NA
1428804	-118.275	61.475	NA	NA	126.031046	NA	NA	NA
1428805	-118.225	61.475	125.308814	140.646159	125.803644	0.49483	-14.842514	NA
1428806	-118.175	61.475	NA	NA	131.627448	NA	NA	NA
1428807	-118.125	61.475	124.714001	142.548833	131.6309	6.916898	-10.917934	NA
1428808	-118.075	61.475	124.563947	140.743097	131.632734	7.068787	-9.110364	NA
1435322	-118.375	61.425	NA	NA	124.790435	NA	NA	NA
1435323	-118.325	61.425	124.109669	138.541792	131.591409	7.48174	-6.950383	NA
1435329	-118.025	61.425	124.228713	138.337426	124.453247	0.224534	-13.884179	NA
1435330	-117.975	61.425	124.158249	138.19607	131.719224	7.560975	-6.476846	NA
1435331	-117.925	61.425	124.205753	137.836311	131.724097	7.518344	-6.112214	NA
1435332	-117.875	61.425	124.555369	136.551059	131.726358	7.170989	-4.824701	NA
1441842	-118.375	61.375	124.120788	135.939324	131.588026	7.467238	-4.351297	NA
1441852	-117.875	61.375	NA	NA	124.539413	NA	NA	NA
1441853	-117.825	61.375	124.426931	137.330117	131.728034	7.301103	-5.602083	NA
1441854	-117.775	61.375	124.877366	137.715932	131.730485	6.853118	-5.985448	NA
1441855	-117.725	61.375	124.5896	137.316734	131.733011	7.143411	-5.583723	NA
1448376	-117.675	61.325	124.399322	137.263945	124.026941	-0.372381	-13.237004	NA
1448446	-114.175	61.325	NA	NA	142.923667	NA	NA	NA
1448447	-114.125	61.325	NA	NA	141.94164	NA	NA	NA
1448448	-114.075	61.325	NA	NA	143.126614	NA	NA	NA
1448449	-114.025	61.325	NA	NA	142.152263	NA	NA	NA
1448450	-113.975	61.325	NA	NA	141.164698	NA	NA	NA
1448451	-113.925	61.325	124.137238	139.082264	127.041808	2.90457	-12.040456	NA
1448452	-113.875	61.325	NA	NA	139.85643	NA	NA	NA
1448453	-113.825	61.325	NA	NA	139.305715	NA	NA	NA
