ID	lon	lat	DOC	POC	discharge	QlagDOC	QlagPOC	FID
846144	88.725	65.975	NA	NA	154.878364	NA	NA	NA
846145	88.775	65.975	123.675194	123.112241	154.866871	31.191676	31.754629	NA
846146	88.825	65.975	124.004958	123.127238	154.862951	30.857993	31.735713	NA
846147	88.875	65.975	NA	NA	154.858417	NA	NA	NA
846148	88.925	65.975	NA	NA	154.852529	NA	NA	NA
846149	88.975	65.975	127.964216	122.845802	154.8489	26.884684	32.003098	NA
852659	88.475	65.925	129.068735	122.97529	154.914026	25.845291	31.938736	NA
852660	88.525	65.925	130.660789	123.156726	154.898251	24.237462	31.741525	NA
852661	88.575	65.925	NA	NA	154.897332	NA	NA	NA
852662	88.625	65.925	NA	NA	154.893916	NA	NA	NA
852663	88.675	65.925	NA	NA	154.886679	NA	NA	NA
852669	88.975	65.925	127.964216	122.845802	150.345795	22.381579	27.499994	NA
859166	87.825	65.875	137.144776	124.670604	145.930476	8.7857	21.259872	NA
859178	88.425	65.875	126.266676	122.993454	154.932246	28.66557	31.938793	NA
859179	88.475	65.875	NA	NA	154.917424	NA	NA	NA
865686	87.825	65.825	136.022948	123.924413	145.923329	9.900382	21.998916	NA
865691	88.075	65.825	133.68437	123.347205	154.989525	21.305155	31.64232	NA
865692	88.125	65.825	128.812154	122.971659	154.973529	26.161374	32.00187	NA
865693	88.175	65.825	127.116421	122.943913	154.962587	27.846167	32.018675	NA
865694	88.225	65.825	124.819863	122.872068	154.956477	30.136614	32.084409	NA
865695	88.275	65.825	130.08874	123.184409	154.949247	24.860506	31.764837	NA
865696	88.325	65.825	127.173088	123.062547	154.945375	27.772288	31.882828	NA
865697	88.375	65.825	131.74398	124.165651	154.941265	23.197286	30.775614	NA
865698	88.425	65.825	124.168379	122.986848	154.934572	30.766193	31.947724	NA
872207	87.875	65.775	139.657095	127.215241	145.698407	6.041312	18.483165	NA
872208	87.925	65.775	139.657915	127.411002	145.684492	6.026577	18.273489	NA
872209	87.975	65.775	135.21383	123.958478	145.678462	10.464632	21.719983	NA
872210	88.025	65.775	135.316076	124.063813	155.003513	19.687437	30.9397	NA
872211	88.075	65.775	133.68437	123.347205	147.451764	13.767393	24.104558	NA
872236	89.325	65.775	NA	NA	153.073944	NA	NA	NA
872237	89.375	65.775	NA	NA	154.200357	NA	NA	NA
872238	89.425	65.775	NA	NA	154.185492	NA	NA	NA
872239	89.475	65.775	NA	NA	154.180494	NA	NA	NA
872240	89.525	65.775	NA	NA	154.174135	NA	NA	NA
878730	88.025	65.725	135.875582	124.092718	141.278836	5.403254	17.186118	NA
878760	89.525	65.725	NA	NA	152.583579	NA	NA	NA
878761	89.575	65.725	NA	NA	152.672472	NA	NA	NA
885250	88.025	65.675	136.173988	123.899971	141.217175	5.043186	17.317204	NA
891770	88.025	65.625	136.21122	124.118631	145.619217	9.407998	21.500586	NA
898290	88.025	65.575	137.004903	124.193596	141.185772	4.180869	16.992176	NA
904809	87.975	65.525	137.79401	124.278944	144.182727	6.388718	19.903783	NA
904810	88.025	65.525	137.740489	124.281755	141.170959	3.430471	16.889204	NA
911329	87.975	65.475	136.647863	124.157738	141.142082	4.494219	16.984344	NA
917849	87.975	65.425	136.797022	124.48179	141.102162	4.305139	16.620371	NA
924369	87.975	65.375	133.660424	123.425435	141.055325	7.394901	17.62989	NA
930888	87.925	65.325	135.336468	123.833821	145.185713	9.849245	21.351892	NA
930889	87.975	65.325	135.245724	123.849422	141.031029	5.785305	17.181606	NA
937408	87.925	65.275	137.167066	124.093981	141.003814	3.836748	16.909833	NA
943927	87.875	65.225	137.486566	124.199398	140.947618	3.461052	16.748221	NA
943928	87.925	65.225	137.233209	124.574616	140.976168	3.742958	16.401552	NA
950447	87.875	65.175	136.883633	124.266726	140.934386	4.050753	16.66766	NA
956515	65.275	65.125	125.313309	123.021434	145.20127	19.887961	22.179836	NA
956967	87.875	65.125	135.133156	124.288865	140.654333	5.521177	16.365468	NA
963034	65.225	65.075	125.737323	123.043167	145.169157	19.431834	22.12599	NA
963487	87.875	65.075	136.281757	123.88436	140.612699	4.330942	16.728339	NA
969548	64.925	65.025	124.876131	123.130361	148.019123	23.142991	24.888762	NA
969549	64.975	65.025	124.580557	122.764736	147.910161	23.329604	25.145425	NA
969550	65.025	65.025	124.64232	123.026231	146.319254	21.676934	23.293023	NA
969554	65.225	65.025	NA	NA	148.691534	NA	NA	NA
969555	65.275	65.025	125.515764	122.830495	145.162718	19.646954	22.332223	NA
969556	65.325	65.025	124.90695	122.380493	145.1364	20.22945	22.755906	NA
969561	65.575	65.025	NA	NA	144.958746	NA	NA	NA
969562	65.625	65.025	NA	NA	144.95321	NA	NA	NA
970006	87.825	65.025	136.670005	123.822921	144.200392	7.530387	20.377471	NA
970007	87.875	65.025	NA	NA	140.594508	NA	NA	NA
976069	64.975	64.975	124.882072	123.14256	153.0303	28.148228	29.88774	NA
976076	65.325	64.975	NA	NA	150.457954	NA	NA	NA
976077	65.375	64.975	125.037504	123.280425	145.013541	19.976038	21.733117	NA
976078	65.425	64.975	124.689495	122.567225	144.998575	20.30908	22.43135	NA
976079	65.475	64.975	124.727941	122.423445	147.742366	23.014425	25.318921	NA
976080	65.525	64.975	NA	NA	150.591808	NA	NA	NA
976081	65.575	64.975	NA	NA	150.524504	NA	NA	NA
976082	65.625	64.975	NA	NA	150.609787	NA	NA	NA
976083	65.675	64.975	125.04725	122.568143	144.947614	19.900364	22.379472	NA
976526	87.825	64.975	137.329783	123.842786	140.560152	3.230369	16.717365	NA
982589	64.975	64.925	124.726697	123.066372	146.998515	22.271818	23.932143	NA
982590	65.025	64.925	124.86652	123.182041	153.103762	28.237242	29.921721	NA
982601	65.575	64.925	126.969011	123.426958	144.812209	17.843199	21.385251	NA
982602	65.625	64.925	125.515392	123.046244	144.821225	19.305833	21.774981	NA
982603	65.675	64.925	125.426886	123.22021	144.84159	19.414704	21.621379	NA
983046	87.825	64.925	135.753135	123.767024	140.510438	4.757303	16.743415	NA
989110	65.025	64.875	124.999639	123.219513	149.445723	24.446083	26.22621	NA
989111	65.075	64.875	NA	NA	152.923249	NA	NA	NA
989112	65.125	64.875	NA	NA	152.953072	NA	NA	NA
989113	65.175	64.875	NA	NA	152.966094	NA	NA	NA
989114	65.225	64.875	124.602635	122.970067	153.016479	28.413844	30.046412	NA
989115	65.275	64.875	124.757763	123.094952	152.967664	28.209901	29.872712	NA
989120	65.525	64.875	126.803782	123.456655	144.791553	17.987771	21.334898	NA
989121	65.575	64.875	126.935887	123.331991	144.801557	17.86567	21.469566	NA
989566	87.825	64.875	135.943452	123.871801	140.490115	4.546663	16.618314	NA
995634	65.225	64.825	125.453906	123.915969	150.818286	25.36438	26.902316	NA
995635	65.275	64.825	NA	NA	147.27376	NA	NA	NA
995640	65.525	64.825	125.8727	122.87804	144.788134	18.915434	21.910094	NA
995641	65.575	64.825	125.607701	122.787532	144.771563	19.163861	21.984031	NA
996085	87.775	64.825	136.603694	124.076349	143.781613	7.17792	19.705264	NA
996086	87.825	64.825	136.499024	123.921511	140.463533	3.964509	16.542022	NA
1002154	65.225	64.775	125.297997	122.937231	150.417015	25.119018	27.479784	NA
1002160	65.525	64.775	125.484027	122.997651	144.7583	19.274274	21.76065	NA
1002161	65.575	64.775	125.522189	123.019107	144.768247	19.246058	21.74914	NA
1002604	87.725	64.775	137.565143	124.18239	144.28668	6.721537	20.10429	NA
1002605	87.775	64.775	136.978974	124.126502	140.432879	3.453905	16.306378	NA
1008674	65.225	64.725	125.107819	123.169315	150.201328	25.093509	27.032013	NA
1008680	65.525	64.725	124.804796	122.771525	144.751273	19.946477	21.979748	NA
1009122	87.625	64.725	NA	NA	144.076527	NA	NA	NA
1009123	87.675	64.725	136.834503	124.201755	140.381716	3.547212	16.179961	NA
1009124	87.725	64.725	137.38017	124.126829	140.410929	3.03076	16.284101	NA
1015194	65.225	64.675	125.294501	123.424764	149.830147	24.535646	26.405383	NA
1015195	65.275	64.675	NA	NA	149.41827	NA	NA	NA
