date,continuous,discontinuous,isolated,no_permafrost,sporadic
2000-01-01,7.53699278380923,7.15564393814952,7.04025975556372,7.39603524506388,6.74230693543584
2000-01-02,7.54766913137172,7.4259624060028,7.08468457369547,7.47334392022551,6.78006131441734
2000-01-03,7.57752960982135,7.39064710070772,7.09397217023909,7.46321255285759,6.67681036704681
2000-01-04,7.61140410504413,7.34849022279198,7.07941016470181,7.5707342492536,6.6839934954683
2000-01-05,7.60130397628735,7.31576108409958,7.00373847751664,7.50137834571672,6.63614367381829
2000-01-06,7.59495920839599,7.22108233369579,7.05791945256376,7.4830763181147,6.65826127962055
2000-01-07,7.57047199231019,6.82669983023649,7.15514135600579,7.47256297846201,6.42743156581884
2000-01-08,7.53597715563847,6.61288727889826,7.12707071191387,7.4526966210054,6.41891255106913
2000-01-09,7.51737566766158,6.496031113513,7.09430182092231,7.45610284227913,6.36747735066102
2000-01-10,7.48420799668689,6.4028618065586,7.09330828199647,7.42405035680875,6.33086134346716
2000-01-11,7.44058510395013,6.30860419688184,6.99742606921728,7.40876894828233,6.26031903758056
2000-01-12,7.20378782117171,6.196720830969,6.76864159222348,7.37833941146996,6.18826557582704
2000-01-13,6.89430866585678,6.21586017314176,6.87534334951961,7.33186162147231,6.27734586233826
2000-01-14,6.61034800108516,6.21320063425606,6.8414086253359,7.29946677551885,6.27043047177272
2000-01-15,6.3617167688479,6.21458350912332,6.7934694084158,7.31389180262561,6.28393688184925
2000-01-16,6.29751489010731,6.18964354315369,6.75189293152735,7.3087529756826,6.22701328912753
2000-01-17,6.23302353632994,6.20733419909009,6.73336416826331,7.32614233135195,6.15558960253696
2000-01-18,6.10485622504266,5.96236304331895,6.70893013605611,7.3250216324699,6.00038411315985
2000-01-19,6.08771130818316,5.64629724609247,6.72185329617323,7.3202880558729,5.95248045434354
2000-01-20,6.08924793138557,5.63249529850739,6.69145449327118,7.16757769254703,5.95300923994493
2000-01-21,5.97879974815828,5.60880703691562,6.68510005695197,6.98816760616441,5.94426256689182
2000-01-22,5.96763443626122,5.56599444831024,6.66945002188384,6.91533979425645,5.93042899749359
2000-01-23,5.97574710154793,5.45967961770662,6.57399015366436,6.90572317819911,5.9328727489453
2000-01-24,5.94267300032934,5.4443709666439,6.56682038840086,6.93850445520228,5.89714813815535
2000-01-25,5.8579190371939,5.36095678745159,6.56365719751525,6.92173684197636,5.86882408422472
2000-01-26,5.84011309687188,5.25050546530048,6.55146874590498,7.04041392552029,5.90197142498539
2000-01-27,5.85362929855698,5.23044115778699,6.47638039686199,7.08230774927663,5.92626392447208
2000-01-28,5.91336428991525,5.21217312395261,6.47441183286356,7.13998420453371,5.97696342644887
2000-01-29,6.03853160921048,5.14084944736435,6.22428607649805,7.14738760990834,5.90952320213567
2000-01-30,6.05952925884033,5.06694021693467,5.96065795186336,7.08160454629936,5.84296530419506
2000-01-31,NA,NA,NA,NA,NA
2000-02-01,NA,NA,NA,NA,NA
2000-02-02,NA,NA,NA,NA,NA
2000-02-03,NA,NA,NA,NA,NA
2000-02-04,NA,NA,NA,NA,NA
2000-02-05,NA,NA,NA,NA,NA
2000-02-06,NA,NA,NA,NA,NA
2000-02-07,NA,NA,NA,NA,NA
2000-02-08,NA,NA,NA,NA,NA
2000-02-09,NA,NA,NA,NA,NA
2000-02-10,NA,NA,NA,NA,NA
2000-02-11,NA,NA,NA,NA,NA
2000-02-12,NA,NA,NA,NA,NA
2000-02-13,NA,NA,NA,NA,NA
2000-02-14,NA,NA,NA,NA,NA
2000-02-15,NA,NA,NA,NA,NA
2000-02-16,NA,NA,NA,NA,NA
2000-02-17,NA,NA,NA,NA,NA
2000-02-18,NA,NA,NA,NA,NA
2000-02-19,NA,NA,NA,NA,NA
2000-02-20,NA,NA,NA,NA,NA
2000-02-21,NA,NA,NA,NA,NA
2000-02-22,NA,NA,NA,NA,NA
2000-02-23,NA,NA,NA,NA,NA
2000-02-24,NA,NA,NA,NA,NA
2000-02-25,NA,NA,NA,NA,NA
2000-02-26,NA,NA,NA,NA,NA
2000-02-27,NA,NA,NA,NA,NA
2000-02-28,NA,NA,NA,NA,NA
2000-02-29,NA,NA,NA,NA,NA
2000-03-01,5.07371265477102,4.17217048124023,5.35878514411031,6.45389224241107,4.885613512474
2000-03-02,5.00871752043349,4.13703819665443,5.44935028963047,6.38631375055641,4.79140085243525
2000-03-03,4.94528300661794,4.10596350339125,5.38764641809519,6.34751690742974,4.74501166435181
2000-03-04,4.89409472999758,4.08256124136098,5.35326282314467,6.27393907172286,4.6861131763791
2000-03-05,4.87431810703545,4.09513626760682,5.32218488388523,6.20104210629563,4.64543578373517
2000-03-06,4.83917952135854,4.05796056609641,5.3448653951324,6.17136452397134,4.53491649285073
2000-03-07,4.75703152590247,4.07457921538195,5.56204113635816,6.1781560396572,4.48993616634446
2000-03-08,4.76384236718239,4.10192956493542,5.54278735599462,6.17761214731029,4.46920983087734
2000-03-09,4.82626065919397,4.10721656954128,5.63672779629272,6.17323949643058,4.44571702043947
2000-03-10,4.72131627846792,4.11096748620518,5.75732009943346,6.14939561953643,4.52082318143642
2000-03-11,4.68758271206566,4.08950442673317,5.79032061717545,6.15361636323981,4.54631947617329
2000-03-12,4.74676287455588,4.0917853691263,5.79944016255085,6.14989815016528,4.62125765061213
2000-03-13,4.82585409806473,4.10694463808768,5.8006386565394,6.1580430425238,4.6053337372079
2000-03-14,4.83536327695858,4.09778247667804,5.83297778075932,6.16204481363876,4.60534297325962
2000-03-15,4.82038291522985,4.12146481522274,5.84283120063864,6.16819209057344,4.65811542571754
2000-03-16,4.81891663893346,4.12881760581939,5.82114803892412,6.15276378013466,4.65721980043245
2000-03-17,4.82572678685126,4.13196522882604,5.84219025024524,6.188379770758,4.6666785056625
2000-03-18,4.84370558556931,4.16964158485264,5.85953372153978,6.20992455258423,4.69751548074484
2000-03-19,4.86720139548202,4.19232850614224,5.87875181685859,6.10209625270535,4.74039867340591
2000-03-20,4.90665608979023,4.26351762993553,5.93201133860834,6.18046692492371,4.77178783130782
2000-03-21,4.91159355549122,4.25151288260401,6.0012919454657,6.24275457030169,4.82038868862556
2000-03-22,4.92742157931822,4.27341800903796,6.01938239943855,6.29483207900438,4.87066631129691
2000-03-23,4.91891711062176,4.33431409250351,6.01579954718527,6.15925096591028,4.92067228606417
2000-03-24,4.89938890710775,4.28903899235458,6.02763190262595,6.12342308157352,4.95881391112434
2000-03-25,4.84758980880031,4.30825914603769,6.09285331960011,6.18782709358556,4.99884302607444
2000-03-26,4.86221990839182,4.27769091346362,6.1565887538592,6.44387973349832,5.02645250313422
2000-03-27,4.88857556180797,4.26613636891731,6.10908124801012,6.52018488738076,5.0596836996851
2000-03-28,4.94290456475062,4.39238971378792,6.03478188959965,6.57630841871524,5.2051995880835
2000-03-29,4.94869069716556,4.38335075201399,5.8919765723168,6.43147960722521,5.15355402611798
2000-03-30,4.97839157448157,4.36608730347831,5.71683807573451,6.42828089134373,5.09683467131114
2000-03-31,4.94453002886723,4.32650988515471,5.71381562695459,6.46150033775323,5.02540490715052
2000-04-01,4.93691543372582,4.31268664878848,5.8291923756596,6.50105772056073,5.01457901030738
2000-04-02,4.91618264551823,4.4488368846226,5.82769275982935,6.52123953977205,5.18865359654429
2000-04-03,4.88455289932532,4.43259862237958,5.7960091556479,6.52137335011793,5.19439018248849
2000-04-04,4.87130595540306,4.44720115901101,5.75533959646253,6.60983944826281,5.20663162114633
2000-04-05,4.85744860042744,4.4727628074895,5.74649512076735,6.64692706026656,5.19649217419449
2000-04-06,4.84676615510997,4.55137460751055,5.74142513568439,6.66201049615194,5.21927074095448
2000-04-07,4.83399554430803,4.54768428475691,5.70427801261122,6.66763935669354,5.06678211600454
2000-04-08,4.84079102475448,4.57464700962784,5.69577504491873,6.65451670513493,5.07678114009743
2000-04-09,4.80864221389312,4.57291286376879,5.70973775941144,6.67010386515972,5.07832871258423
