zone_type,DOC_SoilW_0_28cm,DOC_Q,Q_SoilW_0_28cm,Q_Snowmelt
Continuous,0.593753477,-0.106621406,0.45671788,0.786003486
Discontinuous,0.713963075,0.483779808,0.420475177,0.809324574
Sporadic,0.576386792,0.28994724,0.26305669,0.737319917
Isolated,0.602960558,0.274278896,0.58132598,0.780446189
Non permafrost,0.315878799,0.281388084,0.353216131,0.431931945
,,,,
Ob,0.4237,-0.0168,0.5314,0.8455
Yenisey,0.6838,0.3134,0.3712,0.8689
Lena,0.6426,-0.0363,0.4081,0.8845
Kolyma,0.0102,-0.0759,0.6873,0.8715
Yukon,0.7862,0.5856,0.4517,0.8663
Mackenzie,0.7274,0.5746,0.6686,0.7592
