zone_type,DOC_SoilW_0_28cm,DOC_Q,Q_SoilW_0_28cm,Q_Snowmelt
Continuous,0.001384985,0.604173386,0.019004246,1.95E-06
Discontinuous,4.21E-05,0.012278825,0.032448207,5.55E-07
Sporadic,0.002056739,0.150771031,0.19415948,1.73E-05
Isolated,0.00111282,0.175117149,0.001842049,2.57E-06
Non permafrost,0.115947045,0.163751729,0.07672084,0.027560132
,,,,
Ob,0.031,0.935,0.0052,0
Yenisey,1.00E-04,0.119,0.0619,0
Lena,4.00E-04,0.8602,0.0385,0
Kolyma,0.9607,0.7123,1.00E-04,0
Yukon,0,0.0017,0.0205,0
Mackenzie,0,0.0021,2.00E-04,0
