river,year,DOC_centroid,DOC-channel-mean_centroid,glofas-discharge-channel-mean_centroid,observed-discharge_centroid,snowmelt_centroid,SoilW-0-28cm-cm_centroid,SoilW-28-100cm-cm_centroid
Kolyma,2000,127.9920814,127.9556795,157.8785653,158.6236468,140.7071323,121.8467546,122.9837849
Kolyma,2001,127.7420932,126.939646,156.8097478,155.2057409,136.6002214,121.8721781,122.7277863
Kolyma,2002,126.4580621,126.6030048,157.8783407,158.9685836,143.9897738,122.4505295,123.5315988
Kolyma,2003,127.9044228,127.5727652,162.9017052,160.6579351,148.6005755,122.9765168,122.8923821
Kolyma,2004,126.7464141,127.644675,163.4629155,161.3893491,149.1583819,125.0994826,124.224649
Kolyma,2005,126.6306956,127.0717422,151.2227879,154.2146397,133.2731025,120.9475925,121.5156288
Kolyma,2006,126.4564342,127.1199809,158.6598382,157.9509735,145.1333294,121.2828764,122.0943322
Kolyma,2007,127.0121486,126.8328374,156.8179546,154.6866791,140.1206734,121.3818718,123.2746106
Kolyma,2008,128.1221597,128.1014219,154.9788234,156.4000546,141.5138108,122.5048351,123.703858
Kolyma,2009,127.2024169,127.4227501,156.1198118,157.3015041,142.1963903,120.7987291,122.1150243
Kolyma,2010,125.1027276,125.8121926,151.5124589,153.3519903,133.5842999,121.3856957,122.021586
Kolyma,2011,126.209765,125.9459833,160.7038066,164.352313,149.2026657,122.0357321,122.7297535
Kolyma,2012,127.3111072,127.663268,149.4939827,153.6247082,137.8015358,121.3907699,122.9899316
Kolyma,2013,126.9959506,127.040789,149.8502259,156.9977649,135.8771903,121.6797464,123.0864926
Kolyma,2014,127.9592778,126.2192041,156.8659279,163.7099216,148.4405206,122.2559733,122.8447382
Kolyma,2015,125.9729824,126.6222905,162.5130466,162.0857205,150.6807005,122.5816236,123.053402
Kolyma,2016,128.4419405,128.2074664,152.8446243,153.8346644,135.8093322,121.035892,122.9446899
Kolyma,2017,128.2174504,126.9357651,159.3903149,160.6874721,142.4704512,123.1085909,123.907344
Kolyma,2018,124.4510846,124.7878671,160.1582003,161.276432,146.2684325,122.8164911,124.1867507
Kolyma,2019,126.556041,126.6454381,147.9002812,154.6473786,134.0775041,121.4209321,123.1823792
Kolyma,2020,128.7601597,128.5110074,154.6423934,159.6315929,140.731757,122.508578,124.3810596
Kolyma,2021,126.8291799,126.6967523,151.2980037,156.7326231,139.2968775,121.5151376,123.0591808
Kolyma,2022,127.0197288,127.0207287,154.1728245,155.1983644,138.7757256,121.4507334,122.8710053
Kolyma,2023,127.7867981,127.1332601,153.1265902,156.8376863,141.0927646,121.0045495,122.8687191
Kolyma,2024,128.40319,127.0762195,151.6602129,153.180737,136.6126759,120.9963648,123.472099
Kolyma,2025,126.9310622,126.278924,150.7270599,157.3017928,138.4079499,121.6421294,122.9999389
Lena,2000,127.7060894,126.4625447,152.5876316,155.1313228,136.6241524,122.8953756,123.7956518
Lena,2001,126.4910436,125.2793744,152.7008849,156.2595716,137.7381199,120.5577679,122.233108
Lena,2002,126.5635723,125.744356,152.297429,156.8973282,137.517025,121.5926677,122.6388646
Lena,2003,126.0874286,124.4493145,157.2544036,159.312474,145.4570653,121.6461035,122.3232005
Lena,2004,126.6202821,125.6159831,159.7785501,162.7365578,147.1608257,123.1229797,123.6975633
Lena,2005,127.8463473,125.6240203,151.973463,153.1324968,134.4114381,121.9062284,122.5162968
Lena,2006,129.2123113,125.681156,156.226457,158.3988331,141.6301394,122.012085,122.6287198
Lena,2007,127.5712088,125.7562046,152.9039967,155.0658385,136.4454643,122.462824,122.9624287
Lena,2008,128.5709116,126.191966,154.5852183,156.4805641,139.631439,122.9468279,123.752409
