year,continuous,discontinuous,isolated,no_permafrost,sporadic
2000,128.237797137682,129.269762753975,126.294336880838,124.874614011159,127.056656144559
2001,125.66100262568,128.147582677721,125.36952159878,123.268525496612,126.507934203835
2002,127.395263113817,128.297072511039,126.874015823379,123.66079786781,126.669606087013
2003,126.394398822625,127.574284620604,125.836143040371,124.054528185426,125.611826619184
2004,127.738132425402,128.130948096491,126.234795061816,125.034580298133,126.895468692139
2005,127.394600886659,127.965232441525,125.567554812699,123.887551667836,126.222592740272
2006,127.595061246711,128.060039371947,124.44632186015,123.915377636667,125.431341945077
2007,127.689024209638,127.185322791898,125.691622127369,123.572753198707,125.937914676238
2008,128.613767906781,128.671553067671,126.531184610694,124.541481735006,127.293568635611
2009,127.470388047377,127.626000504534,124.960858846734,123.743034466099,126.200728391562
2010,127.013909052907,127.358729287416,125.645859749614,124.611340369428,126.147927194848
2011,126.89963242971,127.310113932958,124.627091848081,123.900371176032,125.161871813956
2012,128.749042592103,128.469998418564,125.930248463829,124.456243933166,126.48640379419
2013,127.06499354962,127.934375904638,125.024760726469,122.711442860295,124.832377328368
2014,127.336381590522,127.677093621544,125.331227030354,123.399926226124,126.035060425987
2015,127.284467514692,127.180096833584,125.026284339709,123.93762080503,125.630364758689
2016,128.518383527209,128.055620496241,126.039031361227,124.585917792653,126.431001387702
2017,127.174327756968,127.478956249326,125.567160084177,123.775218021431,125.615895164388
2018,127.218647889607,127.731222730828,125.912585291609,123.558351761223,125.901445216112
2019,127.24765718458,126.985830405806,125.289919044299,123.114377775998,125.452070357845
2020,129.380585006746,128.760824151711,126.08959600115,124.114608553146,126.524056266451
2021,128.404776822092,128.202152395548,125.412063659017,123.709821447172,126.178185242593
2022,127.785958077299,128.374824437565,125.363603978301,123.227744782517,126.171629167747
2023,128.302212326804,127.00313755205,124.623548641718,123.551886299205,125.460028862959
2024,128.606496375902,128.759810264889,126.383625458417,124.491634687812,126.821134195737
2025,127.302838508417,127.31810037814,124.852137949626,122.943104861928,125.561871594967
