year,continuous,discontinuous,isolated,no_permafrost,sporadic
2000,152.995488828909,149.1241067116,143.871079549467,137.204880017176,142.422136046693
2001,153.467174666292,149.649918199168,144.01273248353,137.05849295946,144.133363262814
2002,152.362576821707,147.888974124473,144.857895297257,137.333032158594,144.113813590992
2003,155.287938745721,147.126874944962,144.566002018297,137.014738388226,143.081476142206
2004,158.045479548864,149.094723780112,148.643773444526,137.255601499972,147.043454890931
2005,150.772432201051,144.982320036291,142.739582065046,134.539173527522,141.111085979981
2006,154.799495454212,149.074887618474,148.525558444954,138.806522594859,145.768092434994
2007,151.599515141857,146.033646894625,143.367999089979,136.442042815431,141.734089553945
2008,153.434450785971,148.097618544533,144.819161659581,133.646144022271,144.039198277833
2009,150.624286643098,146.060203234886,141.345450533005,133.693369377749,141.045107106584
2010,150.205089653565,142.640936305464,143.604478899708,139.082965349946,140.878227512348
2011,147.310333506423,144.845243739808,137.267792381143,132.022609487821,135.238732919056
2012,150.566460348085,147.808245052141,141.296285892356,130.917704826232,140.299881830322
2013,149.269257538696,147.625452077841,143.264744375599,136.690780953351,141.017147373796
2014,147.293241975393,144.452072145414,137.502161919349,131.310776976526,137.774498291305
2015,153.279530865239,146.391171695231,144.276378330917,135.859286101191,142.810009540198
2016,155.334190573877,146.740612455551,144.587285130641,136.275767785618,144.824666728775
2017,154.588342141697,147.857936660637,144.210593210429,135.556826646562,144.108869695856
2018,153.732238172421,149.713798446016,146.333497130042,137.548041898299,146.349036271786
2019,151.309082563618,143.345369208236,143.362827685507,133.557758244725,141.913367055543
2020,148.089591796572,145.109308530581,139.564230482918,132.711191958882,138.148268662
2021,151.027277396257,145.639818558761,143.49421932361,136.84819828997,141.946553153823
2022,150.861413721141,147.1079934303,141.144463820489,132.159622247339,139.843418669122
2023,152.605196599781,146.412797931787,142.892609172573,135.013816073045,141.743959444698
2024,150.818836505291,147.314922587305,143.483749646262,136.742258364116,143.492941243215
2025,151.148537597511,145.671667863701,140.370372301616,130.298029166395,140.603558055145
