year,continuous,discontinuous,isolated,no_permafrost,sporadic
2000,141.119714929758,135.42727262751,123.988206664029,132.423680153221,132.423680153221
2001,142.329869511923,137.77092871811,125.711419511857,133.775337460392,133.775337344641
2002,142.421060204448,135.305754758072,131.291749157314,133.914874450475,133.914874385786
2003,146.287520315946,131.179333947753,127.192636503151,130.689678395838,130.689678419772
2004,148.688981570825,138.697303125434,131.775183454315,135.749878784426,135.749878674294
2005,137.256573388342,130.153095180595,121.398611441325,127.526020546541,127.526020546541
2006,144.886225676745,136.695848985856,130.13976836008,135.699699387654,135.699699387654
2007,141.576750644151,130.316454262376,120.378044964143,127.075683775607,127.075683760979
2008,143.017591452004,134.258415153059,127.771604434959,134.293795544395,134.293795544395
2009,142.456263060778,133.75196802514,122.776989610796,131.385402499185,131.385402499185
2010,137.085990971345,129.27755652297,123.956032333092,128.001042069084,128.001041935271
2011,137.778957236413,130.325620638844,116.776406159977,122.371508938764,122.371509087852
2012,139.155003141029,132.868693251824,122.326572735926,130.293354127639,130.293354114848
2013,136.121952037395,136.600316649417,123.710833907617,130.51264404728,130.51264404728
2014,141.613592651713,130.514491256594,120.390575846342,129.38216787188,129.382167898505
2015,141.766079879551,129.520315832947,122.241377462969,127.11333288216,127.113333000978
2016,141.929957850613,129.745960435569,118.741352724628,126.814988747455,126.814988798483
2017,142.892604977794,132.599984528951,123.832183222109,131.324635986276,131.324635986276
2018,143.307171290191,135.740342898956,127.948388869215,134.567542749495,134.567542943214
2019,141.888582812702,129.443398304469,126.321715227706,127.990831534908,127.990831551233
2020,138.257609571364,130.699651682151,116.268820153105,122.628478317721,122.628478345103
2021,139.217167584237,132.717494648223,124.616254032265,131.871164276222,131.871164123561
2022,139.444925371407,134.46052715298,124.415478616016,131.634974572521,131.634974575155
2023,143.298192370063,134.337280822787,125.545095038881,130.879782929482,130.879782929482
2024,142.271904127844,133.032670430879,125.582496943482,133.122380766196,133.122380679969
2025,141.428009061589,133.632614365432,120.193811380047,129.339910561133,129.339910561133
