year,continuous,discontinuous,isolated,no_permafrost,sporadic
2000,123.180367047903,123.003328924052,122.274899076855,121.437022778122,122.415981430517
2001,121.873248512802,122.035950982451,121.593216958118,119.373504218455,121.80039669587
2002,122.312448419829,122.01362489904,121.440813476753,119.038241992598,121.940141051781
2003,122.379228127046,121.585937255695,120.853815373617,119.737694516454,121.588076033973
2004,123.653213213514,122.887714215788,122.866380063246,119.192332800221,121.449437703879
2005,121.921999462728,122.474853862829,121.323374197356,118.822854020574,121.951471952653
2006,122.052126015785,122.058641966069,121.632400645189,118.757584726906,121.86941025761
2007,122.274712912521,121.347154266978,121.7388662258,119.989442182266,122.028208796294
2008,123.180273837035,122.977469538627,122.633928289239,119.624591819272,123.209303270993
2009,121.75430852371,122.143518811523,121.442253134641,118.996557632894,122.238211721468
2010,121.704616220689,121.172691171225,121.520804382479,118.766892287389,121.210058469813
2011,121.568635121586,121.35884668919,120.096973062044,119.398582169714,120.270431030977
2012,122.706895414036,122.740573832328,121.187423522218,118.987428106773,122.30483401235
2013,121.613228184904,121.500060013651,121.937129240476,120.042067470696,122.215104930249
2014,122.132111895903,121.383708458437,120.525159393444,118.051793009936,121.387926862118
2015,122.369898638453,120.536700605017,120.456567623204,118.763947672461,120.704397604867
2016,122.861964874756,122.69609579834,121.478331497697,118.53696104473,122.385612557807
2017,122.010823287603,121.658731057114,121.746066855223,119.340049461491,121.517806710922
2018,121.87182426698,122.466563458663,121.511397009359,119.935259263914,122.014687324498
2019,121.810414505199,121.301372571538,121.032614625898,118.666939392904,121.396362051022
2020,122.919704439153,123.270811679067,121.761708323465,118.603367096915,122.845433831496
2021,122.261763555566,122.111664153828,121.424961360708,117.709468892595,122.138123016374
2022,122.086052385126,121.441919311727,121.436964884608,118.627001537758,121.764190733999
2023,122.103538656824,122.350497730383,120.67364739404,116.500960849088,121.902945107497
2024,122.458624506968,122.804104082913,122.079167199816,120.357686460503,122.665312178101
2025,122.310488555106,122.01249965359,120.572875047421,117.674404336894,121.572056439008
